"bifparone"	"time.min"	"time.max"	"resource.min"	"resource.max"	"juv_bio.min"	"juv_bio.max"	"ad_bio.min"	"ad_bio.max"	"total_bio.min"	"total_bio.max"	"juv_number.min"	"juv_number.max"	"ad_number.min"	"ad_number.max"	"total_number.min"	"total_number.max"	"ingestion.min"	"ingestion.max"	"birthrate.min"	"birthrate.max"	"rep_rate.min"	"rep_rate.max"	"mat_rate.min"	"mat_rate.max"	"age_mat.min"	"age_mat.max"	"juv_surv.min"	"juv_surv.max"	"max_size.min"	"max_size.max"	"max_age.min"	"max_age.max"	"period1.min"	"period1.max"	"period2.min"	"period2.max"
0.75	360000	360000	1.2302638366	1.2302638366	0.9217088347	0.9217088348	11.5867814475	11.5867814476	12.5084902823	12.5084902823	2.0428101777	2.0428101778	4.0913210419	4.0913210419	6.1341312196	6.1341312196	2.8769728565	2.8769728565	0.0920120583	0.0920120583	0.0092012058	0.0092012058	0	0.0609119348	27.4987502167	27.498750218	0.6619994008	0.6619994008	4.4709842594	4.4709842594	915.4987502278	915.4987502318	0	0	915	915
0.76	370000	370000	1.2118332141	1.2118332141	0.9520770496	0.9520770497	11.564434306	11.5644343061	12.5165113557	12.5165113557	2.1395823369	2.139582337	4.0991120024	4.0991120024	6.2386943394	6.2386943394	2.8788159857	2.8788159857	0.0935804911	0.0935804911	0.0093580491	0.0093580491	0	0.0610279257	28.4987502323	28.4987502336	0.6521435136	0.6521435136	4.55082523	4.55082523	917.4987502453	917.4987502503	0	0	917	917
0.77	380000	380000	1.1937599679	1.1937599679	1.0418250248	1.0418250249	11.4825513549	11.482551355	12.5243763798	12.5243763798	2.3018200934	2.3018200935	4.0502673954	4.0502673955	6.3520874889	6.3520874889	2.8806233713	2.8806233713	0.0952814051	0.0952814051	0.0095281405	0.0095281405	0	0.0603007246	30.4987500847	30.4987500862	0.6328697614	0.6328697614	4.6392655111	4.6392655111	918.4987500917	918.4987500967	0	0	918	918
0.78	390000	390000	1.1760358237	1.1760358237	1.0678351131	1.0678351132	11.4642539382	11.4642539383	12.5320890514	12.5320890514	2.408005508	2.408005508	4.0674727072	4.0674727073	6.4754782153	6.4754782153	2.8823958398	2.8823958399	0.097132377	0.097132377	0.0097132377	0.0097132377	0	0.0605568787	31.4987505338	31.4987505352	0.6234475539	0.623447554	4.7377592665	4.7377592665	919.4987505405	919.498750544	0	0	919	919
0.79	4e+05	4e+05	1.158652665	1.1586526651	1.0919095902	1.0919095904	11.4477433433	11.4477433435	12.5396529337	12.5396529337	2.5199397381	2.5199397384	4.0903105097	4.0903105099	6.6102502478	6.6102502481	2.8841342072	2.8841342073	0.0991538296	0.0991538297	0.009915383	0.009915383	0	0.06089689	32.49875008	32.4987500827	0.6141656333	0.6141656333	4.8480970375	4.8480970375	920.4987500812	920.4987500896	0	0	920	920
0.8	410000	410000	1.1416036908	1.1416036908	1.1741401795	1.1741401796	11.3729309047	11.3729309048	12.5470710843	12.5470710843	2.6998658924	2.6998658925	4.0581650285	4.0581650285	6.758030921	6.758030921	2.8858391508	2.8858391508	0.1013705846	0.1013705846	0.0101370585	0.0101370585	0	0.0604183052	34.4987502718	34.4987502732	0.596014294	0.596014294	4.9725232811	4.9725232811	922.49875027	922.4987502741	0	0	922	922
0.81	420000	420000	1.1248825205	1.1248825205	1.2536133761	1.2536133761	11.300732865	11.3007328651	12.5543462411	12.5543462411	2.8877057894	2.8877057895	4.0330633716	4.0330633717	6.9207691611	6.9207691611	2.8875113095	2.8875113095	0.103811756	0.103811756	0.0103811756	0.0103811756	0	0.0600445896	36.4987504721	36.4987504733	0.5783994078	0.5783994078	5.1138585702	5.1138585702	924.4987504832	924.4987504878	0	0	924	924
0.82	430000	430000	1.1084838389	1.1084838389	1.3299382639	1.329938264	11.2315424057	11.2315424058	12.5614806697	12.5614806697	3.085121133	3.0851211331	4.0156817697	4.0156817698	7.1008029028	7.1008029028	2.8891512146	2.8891512146	0.1065122915	0.1065122915	0.0106512291	0.0106512291	0	0.0597858123	38.4987505002	38.4987505013	0.5613051216	0.5613051217	5.2756782196	5.2756782196	925.4987505116	925.4987505147	0	0	925	925
0.83	440000	440000	1.0924036654	1.0924036654	1.4028173469	1.402817347	11.1656589185	11.1656589185	12.5684762654	12.5684762654	3.2941089716	3.2941089717	4.0068460684	4.0068460685	7.3009550401	7.3009550401	2.8907592668	2.8907592668	0.1095144242	0.1095144242	0.0109514424	0.0109514424	0	0.0596542657	40.4987500861	40.4987500875	0.5447160516	0.5447160516	5.4625381614	5.4625381614	927.4987500976	927.4987501018	0	0	927	927
0.84	450000	450000	1.0766400484	1.0766400484	1.4720562544	1.4720562545	11.1032775721	11.1032775722	12.5753338265	12.5753338265	3.5170856878	3.5170856879	4.0075631617	4.0075631617	7.5246488495	7.5246488495	2.8923356583	2.8923356583	0.1128698278	0.1128698278	0.0112869828	0.0112869828	0	0.0596649418	42.4987501334	42.4987501349	0.528617259	0.528617259	5.6801642912	5.6801642912	929.4987501431	929.4987501488	0	0	929	929
0.85	460000	460000	1.0611931725	1.0611931725	1.5971913207	1.5971913208	10.9848619679	10.9848619679	12.5820532886	12.5820532886	3.8168411208	3.8168411209	3.959236624	3.9592366241	7.7760777449	7.7760777449	2.8938803716	2.8938803716	0.1166414059	0.1166414059	0.0116641406	0.0116641406	0	0.0589454537	45.4987503997	45.4987504013	0.5053567664	0.5053567664	5.935479584	5.935479584	931.4987504105	931.4987504162	0	0	931	931
0.86	470000	470000	1.0460663993	1.0460663994	1.6580721682	1.6580721684	10.9305611199	10.9305611201	12.5886332883	12.5886332884	4.077692664	4.0776926642	3.982711406	3.9827114062	8.0604040701	8.0604040703	2.8953930731	2.8953930733	0.1209061386	0.1209061388	0.0120906139	0.0120906139	0	0.0592949468	47.4987500462	47.4987500485	0.4904212194	0.4904212194	6.2361315849	6.2361315849	934.4987500481	934.4987500528	0	0	934	934
0.87	480000	480000	1.031268144	1.031268144	1.7736039922	1.7736039923	10.8214660197	10.8214660198	12.5950700119	12.5950700119	4.4236779055	4.4236779057	3.9603136596	3.9603136597	8.3839915653	8.3839915653	2.8968729176	2.8968729176	0.1257599544	0.1257599544	0.0125759954	0.0125759954	0	0.0589614887	50.4987500398	50.4987500419	0.4688414509	0.4688414509	6.5880465848	6.5880465848	936.4987500508	936.4987500549	0	0	936	936
0.88	490000	490000	1.0168131094	1.0168131094	1.9421884565	1.9421884567	10.6591688008	10.6591688009	12.6013572575	12.6013572575	4.8601263324	4.8601263325	3.8946124553	3.8946124554	8.7547387878	8.7547387878	2.8983184376	2.8983184376	0.1313211678	0.1313211678	0.0131321168	0.0131321168	0	0.057983325	54.4987500498	54.4987500516	0.4415382502	0.4415382502	6.9913602305	6.9913602305	939.4987500608	939.4987500655	0	0	939	939
0.89	5e+05	5e+05	1.0027251968	1.0027251968	2.104157596	2.1041575961	10.5033269762	10.5033269763	12.6074845723	12.6074845723	5.3354517423	5.3354517424	3.846997397	3.8469973971	9.1824491395	9.1824491395	2.8997272419	2.8997272419	0.1377368866	0.1377368866	0.0137736887	0.0137736887	0	0.0572744294	58.4987501742	58.498750176	0.4158250635	0.4158250635	7.4322127199	7.4322127199	942.4987501857	942.4987501902	0	0	942	942
0.9	510000	510000	0.9890404467	0.9890404467	2.2589652675	2.2589652677	10.3544711644	10.3544711645	12.613436432	12.613436432	5.8603003405	5.8603003406	3.8189997246	3.8189997248	9.6793000652	9.6793000652	2.9010957288	2.9010957288	0.1451895935	0.1451895935	0.0145189594	0.0145189594	0	0.0568575977	62.4987500775	62.4987500797	0.3916092975	0.3916092976	7.8803215116	7.8803215116	946.4987500889	946.4987500947	0	0	946	946
0.91	520000	520000	0.9758104728	0.9758104728	2.4629955858	2.4629955859	10.1561947577	10.1561947578	12.6191903435	12.6191903435	6.5046427842	6.5046427843	3.7557618576	3.7557618577	10.260404642	10.260404642	2.9024187358	2.9024187358	0.1539061757	0.1539061757	0.0153906176	0.0153906176	0	0.0559161083	67.4987500925	67.4987500945	0.3633129749	0.3633129749	8.2953495331	8.2953495331	950.4987501051	950.4987501087	0	0	950	950
0.92	530000	530000	0.9631050186	0.9631050186	2.6577852227	2.6577852229	9.9669307935	9.9669307937	12.6247160164	12.6247160164	7.2278374583	7.2278374586	3.7167174784	3.7167174786	10.944554937	10.944554937	2.9036892887	2.9036892887	0.1641683877	0.1641683877	0.0164168388	0.0164168388	0	0.0553348137	72.4987500236	72.4987500277	0.3370612463	0.3370612463	8.6473323088	8.6473323089	954.4987500345	954.4987500574	0	0	954	954
0.93	540000	540000	0.9510139532	0.9510139533	2.8976792763	2.8976792766	9.7322952351	9.7322952354	12.6299745116	12.6299745117	8.1067667231	8.1067667235	3.6484153021	3.6484153024	11.7551820255	11.7551820256	2.904898403	2.9048984033	0.1763277873	0.1763277876	0.0176327787	0.0176327788	0	0.0543179264	78.4987500103	78.4987500149	0.3080507844	0.3080507844	8.9283185339	8.9283185339	959.4987500342	959.498750043	0	0	959	959
0.94	550000	550000	0.9396485298	0.9396485298	3.1789299446	3.1789299449	9.455987398	9.4559873982	12.6349173428	12.6349173428	9.1668132573	9.1668132575	3.5548109603	3.5548109606	12.7216242179	12.7216242179	2.9060349517	2.9060349517	0.1908244145	0.1908244145	0.0190824414	0.0190824414	0	0.0529243397	85.4987500044	85.4987500093	0.2773456754	0.2773456754	9.1441207325	9.1441207325	964.4987500273	964.4987500379	0	0	964	964
0.95	560000	560000	0.9291428799	0.9291428799	3.5482789644	3.5482789647	9.0912073459	9.0912073462	12.6394863106	12.6394863106	10.4918145385	10.4918145387	3.3888711404	3.3888711407	13.8806856792	13.8806856792	2.9070855226	2.9070855226	0.2082103289	0.2082103289	0.0208210329	0.0208210329	0	0.0504538174	94.4987499977	94.498750003	0.2423213297	0.2423213297	9.3089730515	9.3089730515	970.4987500209	970.4987500299	0	0	970	970
0.96	570000	570000	0.9196562199	0.9196562199	3.8961356669	3.8961356672	8.7474763933	8.7474763936	12.6436120605	12.6436120605	12.0193541353	12.0193541356	3.2590623368	3.259062337	15.2784164723	15.2784164724	2.9080341927	2.9080341927	0.2291762828	0.2291762828	0.0229176283	0.0229176283	0	0.0485212167	103.4987499943	103.4987499996	0.2117200015	0.2117200015	9.434808092	9.434808092	976.4987500173	976.4987500289	0	0	976	976
