"bifparone"	"time.min"	"time.max"	"resource.min"	"resource.max"	"juv_bio.min"	"juv_bio.max"	"ad_bio.min"	"ad_bio.max"	"total_bio.min"	"total_bio.max"	"juv_number.min"	"juv_number.max"	"ad_number.min"	"ad_number.max"	"total_number.min"	"total_number.max"	"ingestion.min"	"ingestion.max"	"birthrate.min"	"birthrate.max"	"rep_rate.min"	"rep_rate.max"	"mat_rate.min"	"mat_rate.max"	"age_mat.min"	"age_mat.max"	"juv_surv.min"	"juv_surv.max"	"max_size.min"	"max_size.max"	"max_age.min"	"max_age.max"	"period1.min"	"period1.max"	"period2.min"	"period2.max"
0.72	330000	330000	0.6345775326	1.8864297194	0.2753601292	11.4368156915	0.1135866706	15.7736336885	7.2820325035	16.8192842671	1.5894886341	66.4109247927	0.011449463	10.1956661973	7.7833684614	66.4841236116	2.8104164616	2.9369949948	0.0713892303	4.632605574	0.007138923	0.4632605574	0	0.1547860926	125.4998650816	574.4998948683	1.079434e-07	0.1522079846	9.9258736721	9.964710506	792.4920602883	1097.499005133	455.9100561288	455.9100561288	567.439	567.439
0.73	340000	340000	0.6425791349	1.8199691015	0.3092108837	11.4312205237	0.1174255689	15.5892230813	7.4629280073	16.641893369	1.7509926234	67.8191771245	0.0118405946	10.1045048854	7.8456601111	67.8971457735	2.8171439165	2.9361847001	0.0723072217	4.4933132311	0.0072307222	0.4493313231	0	0.1512020094	127.499860414	572.4998991598	1.068754e-07	0.1477095716	9.9232275219	9.9634040427	796.4921394942	1099.4988908914	454.0490635878	454.0490635878	576.6905	576.6905
0.74	350000	350000	0.6507789801	1.7568904606	0.3293623797	11.4381105336	0.12116814	15.4106965708	7.6468117511	16.4646729409	1.9146331086	69.2258175343	0.0122225582	9.8608533057	7.9212811854	69.3088870237	2.8235289903	2.9353547392	0.0731989996	4.3527816408	0.0073199	0.4352781641	0	0.1518152655	130.4998426914	571.4998981385	1.06512e-07	0.1412099923	9.920406658	9.9620179798	800.4922285619	1100.4989609325	452.1650516715	452.1650516715	586.5406666667	586.5406666667
0.75	360000	360000	0.6591779524	1.6969749588	0.3645018326	11.4427119778	0.1251329664	15.2252640685	7.8336932351	16.287606188	2.1088239975	70.6272394628	0.0126276232	9.7636794146	8.0127180949	70.7158509513	2.8295912565	2.9345043908	0.0740651557	4.2113846283	0.0074065156	0.4211384628	0	0.1499365011	132.4998430485	569.4999035707	1.062261e-07	0.1370366207	9.9174315746	9.9605390272	804.4923094923	1101.499005076	450.2179870044	450.2179870044	596.2856666667	596.2856666667
0.76	370000	370000	0.6677852386	1.6400231312	0.4051348425	11.4487004058	0.1292643501	15.0368477682	8.0235788803	16.1107033721	2.3253352245	72.0191679541	0.0130502433	9.6623309605	8.1229179191	72.1137675072	2.8353524207	2.9336335628	0.074895851	4.0690838445	0.0074895851	0.4069083844	0	0.1480386812	134.4998395832	567.499908118	1.065934e-07	0.1329865919	9.9142428156	9.958968763	808.4923942708	1103.4988457455	448.1542639105	448.1542639105	607.3961666667	607.3961666667
0.77	380000	380000	0.6766107059	1.5858539494	0.444458959	11.4540933782	0.1336465796	14.8508962948	8.2164631726	15.9339695092	2.5699462734	73.3963210334	0.0134990727	9.4144919044	8.2552683817	73.4974454517	2.8408306363	2.932741525	0.0756895352	3.9261811844	0.0075689535	0.3926181184	0	0.1449727454	137.4998275632	565.499912139	1.076832e-07	0.1271348632	9.9108581916	9.9572889689	812.4924858334	1104.4989052639	445.9697676143	445.9697676143	621.2653333333	621.2653333333
0.78	390000	390000	0.6856627598	1.534300298	0.4876243524	11.4631206309	0.1382090771	14.6578836439	8.4123232284	15.7574171634	2.8390626003	74.75234025	0.0139671347	9.3056633131	8.4135441022	74.8605485609	2.8460423623	2.9318268715	0.0764423793	3.7823235117	0.0076442379	0.3782323512	0	0.1435681929	139.4998220158	562.4999221415	1.089912e-07	0.1233774769	9.9072273266	9.9554902195	816.4925868522	1105.4989333	443.6043003419	443.6043003419	634.4223333333	634.4223333333
0.79	4e+05	4e+05	0.6949493596	1.485209732	0.5420883861	11.4537503582	0.1437277162	14.4593297184	8.6111268884	15.5812089953	3.1596623723	76.0792772746	0.0145332217	9.054816794	8.6020606689	76.1951147666	2.8510035211	2.9308886979	0.0771544577	3.6377766847	0.0077154458	0.3637776685	0	0.1406772552	142.4998092849	558.4999350926	1.118043e-07	0.1179485777	9.9033519851	9.9535628176	821.4926442409	1106.4989442525	441.0019202138	441.0019202138	650.0783333333	650.0783333333
0.8	410000	410000	0.7044704127	1.4384428755	0.5955664521	11.4839953747	0.1483220576	14.2603749503	8.812835448	15.4051500563	3.4817700395	77.3673038238	0.0150070815	8.9365485336	8.8256907018	77.4918224529	2.8557282266	2.9299268681	0.0778313157	3.4922780077	0.0077831316	0.3492278008	0	0.1382875407	144.4998004035	555.499943866	1.154281e-07	0.1144626877	9.8991662346	9.9514892706	825.4927573083	1107.498942078	438.0944237153	438.0944237153	668.4306666667	668.4306666667
0.81	420000	420000	0.7142482423	1.393862606	0.6620264396	11.4972075665	0.1540078348	14.0566185387	9.0174159957	15.2293123306	3.86788951	78.6038528557	0.015593302	8.6808792643	9.0900804539	78.7378014611	2.8602307752	2.928939612	0.0784875211	3.3460096245	0.0078487521	0.3346009624	0	0.1349916394	147.4997831564	550.4999601636	1.225427e-07	0.1094260695	9.8946447253	9.9492508351	829.4928746275	1108.4989153652	434.7745486246	434.7745486246	690.1695	690.1695
0.82	430000	430000	0.7242858263	1.3513428263	0.7308513055	11.5106411685	0.1603679059	13.844113429	9.2248421663	15.0536434773	4.3033015558	79.7729560229	0.0162501947	8.4232292334	9.4019093378	79.917423473	2.8645237364	2.9279254909	0.0791561973	3.1987710339	0.0079156197	0.3198771034	0	0.1320535222	150.4997627056	543.4999836261	1.319024e-07	0.104611079	9.8897792084	9.9468262933	833.4930089043	1109.4988427015	430.8859100886	430.8859100886	717.4471666667	717.4471666667
0.83	440000	440000	0.7346011472	1.3107585361	0.8108172716	11.5312153767	0.1672842092	13.6266302458	9.4351188816	14.8781341027	4.7917850449	80.8539561439	0.0169665674	8.1627037554	9.7691988087	81.0103068901	2.8686209337	2.9268838402	0.0798872348	3.0504753878	0.0079887235	0.3050475388	0	0.1289187397	153.4997374417	532.5000222191	1.494394e-07	0.100007966	9.8845217677	9.9441907342	838.4931147872	1109.4989798073	427.0838294925	427.0838294925	750.2766666667	750.2766666667
0.84	450000	450000	0.7452122995	1.2719889083	0.9310234634	11.5502588225	0.1754869144	13.3984150115	9.6482789757	14.7026894852	5.3495085222	81.8197607164	0.0178185189	8.0163471937	10.2026898126	81.9902867333	2.8725336479	2.9258122323	0.0807780242	2.9009351872	0.0080778024	0.2900935187	0	0.1242497626	155.4997214533	514.5000846424	1.950428e-07	0.0970523072	9.8788639378	9.9413049374	843.4932502559	1110.4988845219	423.8442020182	423.8442020182	783.2585	783.2585
0.85	460000	460000	0.7561204993	1.2349224154	1.006262455	11.5696371133	0.1853906818	13.1578255883	9.8643704068	14.5273000947	5.9798437619	82.6392699659	0.018854569	7.7421229953	10.7128313216	82.8250979268	2.8762737212	2.9247100279	0.0819476461	2.7499108578	0.0081947646	0.2749910858	0	0.1210290572	158.4996889194	489.5001661035	5.115293e-07	0.0927818065	9.8725606217	9.9381263925	847.4934071089	1110.49895564	420.9714283547	420.9714283547	814.2541666667	814.2541666667
0.86	470000	470000	0.7673471205	1.1994588052	1.1275263763	11.5877288864	0.1978696867	12.9004973249	10.083402013	14.3520347263	6.7072757605	83.270045749	0.0201695634	7.3488322081	11.3159609614	83.4745617975	2.8798510667	2.9235749062	0.0835921552	2.5971966401	0.0083592155	0.259719664	0	0.1167217363	162.4996352442	482.5001676157	1.487827e-06	0.0873786851	9.8657268973	9.9346027294	852.4935451131	1110.4989907304	418.3339392537	418.3339392537	846.6438333333	846.6438333333
0.87	480000	480000	0.7788817119	1.1655332471	1.2634822108	11.6088791821	0.2136703174	12.628179882	10.3052000548	14.1771789389	7.5405912264	83.6662498071	0.0218633263	7.0607191924	12.0263170795	83.8934478092	2.8832722671	2.9224069257	0.0859464903	2.4426636838	0.008594649	0.2442663684	0	0.1121040819	165.4996013556	475.5001549905	4.239519e-06	0.0835338454	9.8582321485	9.9306672134	857.4936865609	1111.4988113354	415.8169344957	415.8169344957	876.9061666667	876.9061666667
0.88	490000	490000	0.790682265	1.1331378524	1.4233053633	11.628214883	0.2347282489	12.3339804166	10.5292029865	14.0035555699	8.4926807066	83.7760384218	0.0241860298	6.7610289923	12.8540766553	84.0301636078	2.8865370762	2.9212108217	0.0892718417	2.2861555113	0.0089271842	0.2286155511	0	0.1071397539	168.4995744986	466.5001479234	1.180388e-05	0.079858178	9.8499844495	9.9262312448	863.4937850866	1110.4989845238	413.3536997605	413.3536997605	905.4635	905.4635
0.89	5e+05	5e+05	0.8026633935	1.1023332443	1.6021022828	11.6477686576	0.2628501047	12.0202276177	10.7542390959	13.8324505206	9.5519388661	83.5341567327	0.0274491585	6.4472757476	13.798310288	83.8189161509	2.8896333691	2.9199934944	0.09379952	2.1276063186	0.009379952	0.2127606319	0	0.1018966159	171.4995537733	456.5001294363	3.207328e-05	0.0763442408	9.8408671329	9.9211911209	869.4938895351	1110.4988765035	410.9051169617	410.9051169617	932.9113333333	932.9113333333
0.9	510000	510000	0.8147513187	1.0731689913	1.8074625528	11.659552439	0.3019389738	11.6855123187	10.9790438359	13.6648798006	10.711790245	82.8133535701	0.0323053236	6.0221960747	14.8522912811	83.1339678151	2.8925748111	2.9187621407	0.0997857461	1.9665453286	0.0099785746	0.1966545329	0	0.0964571309	175.4994915318	445.5000918935	8.49203e-05	0.0718983655	9.8308108429	9.9154024927	875.4940519211	1109.4988012279	408.4271304619	408.4271304619	959.9433333333	959.9433333333
0.91	520000	520000	0.8269418367	1.0455919343	2.04402715	11.6614592461	0.3566316139	11.3180129555	11.2029869045	13.5008115059	11.9778520071	81.3952518772	0.0398307663	5.6617883072	16.0196482864	81.7561663922	2.8953474185	2.9175170914	0.1076930413	1.8016208712	0.0107693041	0.1801620871	0	0.0905847666	178.4994325064	431.5000638385	0.0002205425	0.0687347172	9.8198189573	9.9086642325	883.4943470279	1107.4988004867	405.807484541	405.807484541	981.9398333333	981.9398333333
